name,price,color,sizes,fit,category,image_url,stock,description
Black Oversize Hoodie,650,black,M|L|XL,oversize,hoodies,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,50,Premium oversized hoodie in black
White Graphic T-Shirt,299,white,S|M|L|XL,regular,t-shirts,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,100,Classic white graphic tee
Blue Denim Jacket,899,blue,M|L|XL|XXL,regular,jackets,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=800,30,Vintage blue denim jacket
Gray Sweatpants,549,gray,S|M|L|XL,relaxed,pants,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?w=800,75,Comfortable gray sweatpants
Red Snapback Cap,199,red,One Size,fitted,accessories,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,120,Classic red snapback cap
Black Leather Sneakers,1299,black,40|41|42|43|44,regular,shoes,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,40,Premium leather sneakers
Navy Blue Polo Shirt,449,navy,S|M|L|XL,slim-fit,shirts,https://images.unsplash.com/photo-1633577224339-532ee0c1af5b?w=800,60,Navy blue polo shirt
Khaki Cargo Shorts,399,khaki,28|30|32|34,regular,shorts,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=800,85,Khaki cargo shorts
Green Bomber Jacket,1099,green,M|L|XL,regular,jackets,https://images.unsplash.com/photo-1551488831-00ddcb6c6bd3?w=800,25,Olive green bomber jacket
White Canvas Sneakers,799,white,39|40|41|42|43,regular,shoes,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=800,55,Classic white canvas sneakers
Black Skinny Jeans,749,black,28|30|32|34|36,skinny,pants,https://images.unsplash.com/photo-1542272604-787c3835535d?w=800,90,Black skinny fit jeans
Gray Beanie Hat,149,gray,One Size,regular,accessories,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,150,Soft gray beanie hat
Burgundy Crew Neck Sweater,649,burgundy,S|M|L|XL,regular,sweaters,https://images.unsplash.com/photo-1620799140188-3b2a02fd9a77?w=800,45,Burgundy crew neck sweater
Tan Suede Chelsea Boots,1499,tan,40|41|42|43|44,regular,shoes,https://images.unsplash.com/photo-1608256246200-53e635b5b65f?w=800,35,Tan suede Chelsea boots
Yellow Windbreaker,899,yellow,M|L|XL,regular,jackets,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,40,Bright yellow windbreaker
Pink Crop Top,349,pink,XS|S|M|L,fitted,tops,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=800,70,Pink crop top
Blue Striped Button-Down,599,blue,S|M|L|XL|XXL,regular,shirts,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800,55,Blue striped button-down shirt
Black Backpack,799,black,One Size,regular,accessories,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,80,Durable black backpack
Olive Green Cargo Pants,799,olive,28|30|32|34|36,regular,pants,https://images.unsplash.com/photo-1624378440070-7f2a0c7e2bb2?w=800,65,Olive green cargo pants
White Long Sleeve Shirt,499,white,S|M|L|XL,regular,shirts,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=800,95,Classic white long sleeve
